Label,Cycle,FrameInCycle,Milliseconds,MemoryBytes,GCCollections,Timestamp
Managed + Burst,32,4,1.657,1365504000,0,2025-06-13 13:32:54
Managed + Burst,32,5,1.507,1386483712,0,2025-06-13 13:32:54
Managed + Burst,33,1,1.666,1407463424,0,2025-06-13 13:32:54
Managed + Burst,33,2,1.657,1428443136,0,2025-06-13 13:32:54
Managed + Burst,33,3,11.474,1331953664,1,2025-06-13 13:32:54
Managed + Burst,33,4,1.589,1352933376,0,2025-06-13 13:32:54
Managed + Burst,33,5,1.558,1373913088,0,2025-06-13 13:32:54
Managed + Burst,34,1,1.821,1394892800,0,2025-06-13 13:32:54
Managed + Burst,34,2,1.584,1415872512,0,2025-06-13 13:32:54
Managed + Burst,34,3,1.874,1436852224,0,2025-06-13 13:32:54
Managed + Burst,34,4,1.712,1457831936,0,2025-06-13 13:32:54
Managed + Burst,34,5,10.428,1361342464,1,2025-06-13 13:32:54
Managed + Burst,35,1,1.559,1382322176,0,2025-06-13 13:32:54
Managed + Burst,35,2,1.564,1403301888,0,2025-06-13 13:32:54
Managed + Burst,35,3,1.506,1424281600,0,2025-06-13 13:32:54
Managed + Burst,35,4,1.508,1445261312,0,2025-06-13 13:32:54
Managed + Burst,35,5,1.593,1466241024,0,2025-06-13 13:32:54
Managed + Burst,36,1,1.726,1487220736,0,2025-06-13 13:32:54
Managed + Burst,36,2,12.228,1390731264,1,2025-06-13 13:32:54
Managed + Burst,36,3,1.523,1411710976,0,2025-06-13 13:32:54
Managed + Burst,36,4,1.554,1432690688,0,2025-06-13 13:32:54
Managed + Burst,36,5,1.767,1453670400,0,2025-06-13 13:32:54
Managed + Burst,37,1,1.686,1474650112,0,2025-06-13 13:32:54
Managed + Burst,37,2,1.556,1495629824,0,2025-06-13 13:32:54
Managed + Burst,37,3,1.641,1516609536,0,2025-06-13 13:32:54
Managed + Burst,37,4,10.345,1420120064,1,2025-06-13 13:32:54
Managed + Burst,37,5,1.598,1441099776,0,2025-06-13 13:32:54
Managed + Burst,38,1,1.679,1462079488,0,2025-06-13 13:32:54
