Label,Cycle,FrameInCycle,Milliseconds,MemoryBytes,GCCollections,Timestamp
Arena + Burst,30,5,1.096,619192320,0,6/13/2025 13:13
Arena + Burst,31,1,1.258,640172032,0,6/13/2025 13:13
Arena + Burst,31,2,1.307,640172032,0,6/13/2025 13:13
Arena + Burst,31,3,1.324,640172032,0,6/13/2025 13:13
Arena + Burst,31,4,1.348,640172032,0,6/13/2025 13:13
Arena + Burst,31,5,1.095,640172032,0,6/13/2025 13:13
Arena + Burst,32,1,1.398,661151744,0,6/13/2025 13:13
Arena + Burst,32,2,1.302,661180416,0,6/13/2025 13:13
Arena + Burst,32,3,1.348,661180416,0,6/13/2025 13:13
Arena + Burst,32,4,1.148,661180416,0,6/13/2025 13:13
Arena + Burst,32,5,1.168,661180416,0,6/13/2025 13:13
Arena + Burst,33,1,1.12,682160128,0,6/13/2025 13:13
Arena + Burst,33,2,1.162,682160128,0,6/13/2025 13:13
Arena + Burst,33,3,1.191,682160128,0,6/13/2025 13:13
Arena + Burst,33,4,1.189,682160128,0,6/13/2025 13:13
Arena + Burst,33,5,1.16,682160128,0,6/13/2025 13:13
Arena + Burst,34,1,1.502,703139840,0,6/13/2025 13:13
Arena + Burst,34,2,1.375,703139840,0,6/13/2025 13:13
Arena + Burst,34,3,1.152,703139840,0,6/13/2025 13:13
Arena + Burst,34,4,1.248,703139840,0,6/13/2025 13:13
Arena + Burst,34,5,1.157,703139840,0,6/13/2025 13:13
Arena + Burst,35,1,9.838,598212608,1,6/13/2025 13:13
Arena + Burst,35,2,1.243,598212608,0,6/13/2025 13:13
Arena + Burst,35,3,1.181,598212608,0,6/13/2025 13:13
Arena + Burst,35,4,1.176,598212608,0,6/13/2025 13:13
Arena + Burst,35,5,1.274,598212608,0,6/13/2025 13:13
Arena + Burst,36,1,1.269,619192320,0,6/13/2025 13:13
Arena + Burst,36,2,1.163,619192320,0,6/13/2025 13:13
Arena + Burst,36,3,1.409,619192320,0,6/13/2025 13:13
Arena + Burst,36,4,1.128,619192320,0,6/13/2025 13:13
Arena + Burst,36,5,1.336,619192320,0,6/13/2025 13:13
Arena + Burst,37,1,1.169,640172032,0,6/13/2025 13:13
Arena + Burst,37,2,1.232,640172032,0,6/13/2025 13:13
Arena + Burst,37,3,1.204,640172032,0,6/13/2025 13:13
Arena + Burst,37,4,1.253,640172032,0,6/13/2025 13:13
Arena + Burst,37,5,1.435,640172032,0,6/13/2025 13:13
Arena + Burst,38,1,1.227,661151744,0,6/13/2025 13:13
Arena + Burst,38,2,1.217,661151744,0,6/13/2025 13:13
Arena + Burst,38,3,1.18,661151744,0,6/13/2025 13:13
Arena + Burst,38,4,1.319,661151744,0,6/13/2025 13:13
Arena + Burst,38,5,1.149,661151744,0,6/13/2025 13:13
Arena + Burst,39,1,1.168,682131456,0,6/13/2025 13:13
Arena + Burst,39,2,1.176,682131456,0,6/13/2025 13:13
Arena + Burst,39,3,1.192,682131456,0,6/13/2025 13:13
